26.43	26.29	44.50	50.67	57.86	68.33	79.67	103.25
28.09	30.82	42.00	49.91	56.67	66.43	78.25	100.20
20.93	27.89	36.82	45.42	52.78	63.11	73.00	85.00
22.19	28.57	36.36	45.77	53.91	64.91	77.40	94.83
26.54	34.73	37.30	45.90	52.75	62.63	69.67	93.50
34.60	33.56	40.08	48.25	55.11	63.22	68.00	88.80
40.92	39.67	45.50	51.00	55.63	66.44	69.50	83.00
57.15	56.00	56.64	59.67	64.11	69.89	75.40	90.17
40.94	47.75	47.77	51.91	55.00	62.78	69.40	86.00
27.43	25.43	36.40	44.44	50.13	57.88	65.25	82.80
20.85	25.90	34.50	43.55	52.44	58.67	62.75	68.00
18.33	25.43	31.30	42.38	51.50	58.63	62.00	75.60
17.60	25.17	29.85	37.76	46.50	57.78	63.75	76.40
42.71	25.80	36.75	43.10	50.38	59.67	68.00	75.00
61.38	76.44	50.70	53.25	55.71	62.43	66.75	77.60
70.25	74.00	54.33	55.63	60.75	67.78	69.75	77.80
60.71	56.13	50.62	57.33	59.33	66.22	77.00	80.80
57.13	62.50	59.85	60.00	61.38	67.80	71.00	78.00
93.38	61.00	74.30	72.88	73.14	73.83	73.33	81.25
149.45	87.29	87.33	82.38	87.67	79.00	72.00	79.00
90.15	84.86	82.78	78.43	82.43	79.00	76.75	83.00
67.33	75.33	78.00	80.80	80.57	86.50	80.00	87.80
104.73	76.25	87.80	89.13	91.50	95.00	89.33	94.25
114.64	67.50	89.73	90.75	92.67	98.75	81.00	90.00
134.63	126.71	97.11	98.11	96.33	99.57	98.67	99.80
167.54	132.25	121.33	118.67	108.33	112.25	110.33	111.25
165.67	114.80	130.20	121.50	114.20	120.17	108.50	108.33
85.27	82.00	95.22	99.71	98.00	103.71	82.00	92.50
47.92	63.50	63.80	68.56	76.13	85.33	91.00	96.00
36.11	32.33	52.11	59.00	65.83	81.86	89.00	92.00
33.89	41.60	60.50	63.33	69.33	77.29	93.60	99.80
77.40	81.00	68.57	79.86	78.40	86.17	90.25	96.40
132.30	88.00	87.20	89.57	92.00	97.63	99.00	101.75
110.50	76.33	73.00	78.86	82.83	91.00	97.50	98.80
146.44	130.88	85.88	88.14	93.33	100.43	105.25	107.40
86.92	107.67	87.45	81.33	87.83	97.13	106.75	107.20
73.71	74.80	78.44	84.00	89.83	98.29	106.25	108.60
62.31	69.00	74.18	79.71	87.00	97.25	103.33	103.25
72.57	65.67	78.10	87.11	90.86	100.50	107.00	107.20
76.00	82.29	80.75	86.75	92.14	101.63	106.75	106.80
72.30	71.67	78.63	85.63	93.50	102.14	105.25	103.80
106.33	89.50	82.56	88.67	95.29	101.67	106.50	109.80
93.83	81.25	83.50	91.00	94.71	104.89	109.00	112.40
